Departamento en Venta Carlos Echanove Lomas De Vista Hermosa Cuajimalpa De Morelos,19.3710148,-99.2782661,"Lomas de Vista Hermosa, Cuajimalpa de Morelos, Distrito Federal (CDMX)",350,1,18800000,11
Departamento en Venta Monte Alban Narvarte Benito Juárez Distrito Federal cdmx,19.3989634,-99.149963,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",111,1,4114134,11
Departamento en Venta Carr México toluca Paseo De Las Lomas Álvaro Obregón Distrito Federal cdmx,19.3714507,-99.26977,"Paseo de las Lomas, Álvaro Obregón, Distrito Federal (CDMX), Distrito Federal (CDMX)",140,1,6600000,11
Departamento en Venta Sierra Gorda Lomas De Chapultepec Miguel Hidalgo Distrito Federal cdmx,19.4215455,-99.22517490000001,"Lomas de Chapultepec, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",370,1,22317030,11
Departamento en Venta Av Ejército Nacional Granada Miguel Hidalgo Distrito Federal cdmx,19.437915,-99.1933802,"Granada, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",58,1,4000000,11
Departamento en Venta Av Ejército Nacional Granada Miguel Hidalgo Distrito Federal cdmx,19.437915,-99.1933802,"Granada, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",53,1,4200000,11
Departamento en Venta Av Ejército Nacional Granada Miguel Hidalgo Distrito Federal cdmx,19.437915,-99.1933802,"Granada, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",61,1,4250000,11
Departamento en Venta Av Ejército Nacional Granada Miguel Hidalgo Distrito Federal cdmx,19.437915,-99.1933802,"Granada, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",5,1,4500000,11
Departamento en Venta Tennyson Polanco Miguel Hidalgo Distrito Federal cdmx,19.4326705,-99.1949618,"Polanco, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",240,1,22500000,11
Departamento en Venta Av Secretaria De Marina Bosques De Las Lomas Cuajimalpa De Morelos,19.3843345,-99.26603160000002,"Bosques de Las Lomas, Cuajimalpa de Morelos, Distrito Federal (CDMX)",257,1,14000000,11
Departamento en Venta Antiguo Camino A Tecamachalco Bosques De Las Lomas Cuajimalpa De Morelos,19.3860324,-99.27772900000002,"Bosques de Las Lomas, Cuajimalpa de Morelos, Distrito Federal (CDMX)",480,1,27896288,11
Departamento en Venta Bosque De Tabachines Bosques De Las Lomas Cuajimalpa De Morelos,19.3920855,-99.25153209999996,"Bosques de Las Lomas, Cuajimalpa de Morelos, Distrito Federal (CDMX)",750,1,46493813,11
Departamento en Venta Lago Zurich 244 Ampliación Granada Miguel Hidalgo Distrito Federal cdmx,19.4431776,-99.20236620000004,"Ampliación Granada, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",10,1,5800000,11
Departamento en Venta Lomas De Chapultepec Miguel Hidalgo Distrito Federal cdmx,19.4194815,-99.18945579999999,"Lomas de Chapultepec, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",4,1,13900000,11
Departamento en Venta Gobernador José Ceballos San Miguel Chapultepec Miguel Hidalgo Distrito Federal cdmx,19.4099871,-99.1877332,"San Miguel Chapultepec, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",165,1,6800000,11
Departamento en Venta Paseo De Los Laureles Bosques De Las Lomas Cuajimalpa De Morelos,19.385637,-99.2583988,"Bosques de Las Lomas, Cuajimalpa de Morelos, Distrito Federal (CDMX)",323,1,18039599,11
Departamento en Venta Lomas De Chapultepec Miguel Hidalgo Distrito Federal cdmx,19.42489368,-99.22563493,"Lomas de Chapultepec, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",410,1,14000000,11
Departamento en Venta Bosques Bosques De Las Lomas Cuajimalpa De Morelos,19.3904162,-99.2550003,"Bosques de Las Lomas, Cuajimalpa de Morelos, Distrito Federal (CDMX)",85,1,3500000,11
Departamento en Venta Privada De Los Tamarindos Bosques De Las Lomas Cuajimalpa De Morelos,19.3848619211588,-99.25313718095094,"Bosques de Las Lomas, Cuajimalpa de Morelos, Distrito Federal (CDMX)",700,1,29756040,11
Departamento en Venta Lago Neuchatel 10 Ampliación Granada Miguel Hidalgo Distrito Federal cdmx,19.4424324,-99.2016306,"Ampliación Granada, Miguel Hidalgo, Distrito Federal (CDMX), Distrito Federal (CDMX)",124,1,8100000,11
Departamento en Venta Secretaria De Marina Bosque De Las Lomas Ciudad De México,19.3894974,-99.26518409999998,"Bosque de las Lomas, Ciudad De México, Distrito Federal (CDMX)",359,1,26036535,11
Departamento en Venta Javier Barroso Sierra Santa Fe Cuajimalpa Cuajimalpa De Morelos,19.3694528,-99.2546271,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Distrito Federal (CDMX)",285,1,9600000,11
Departamento en Venta Privada De Los Tamarindos Bosques De Las Lomas Cuajimalpa De Morelos,19.38559887677155,-99.25394887406617,"Bosques de Las Lomas, Cuajimalpa de Morelos, Distrito Federal (CDMX)",300,1,13948144,11
